os_name,os_family,vendor,os_generation,device_type,ttl,window_size,df_flag,tcp_options,ip_id_sequence,icmp_response
2N Helios IP VoIP doorbell,embedded,2N,,specialized,250,32768,0,O1=M5B4%O2=M5B4%O3=M5B4%O4=M5B4%O5=M5B4%O6=M5B4,incremental,0
2Wire BT2700HG-V ADSL modem,embedded,2Wire,,broadband router,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 1701HG wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5ACNNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
"2Wire 1701HG, 2700HG, 2700HG-B, 2701HG-B, RG2701HG, or 3800HGV-B wireless ADSL modem",embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 2700HG-B wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 2701HG wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 2701HG-B wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 2701HG-B wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M5B4NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire 2701HG-G wireless ADSL modem,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
2Wire Shasta wireless broadband router,embedded,2Wire,,WAP,250,32768,1,O1=M5B4NNSW0NNNT11%O2=M578NNSW0NNNT11%O3=M280W0NNNT11%O4=M218NNSW0NNNT11%O5=M218NNSW0NNNT11%O6=M109N,incremental,0
